,Capacity,DaysShowedInWeek,Index,LastDate,Lifetime,Movie,OccAtWeek,OccPer,OtherReleasesInWeek,ReleaseDate,ShowsInWeek,WeeksSinceRelease
58,230,1,58,2015-01-14,3,HO00000757,209,0.908695652173913,3,2014-12-25,2,1
59,1830,7,59,2015-01-14,3,HO00000757,1627,0.889071038251366,3,2014-12-25,16,2
60,131,1,60,2015-01-14,3,HO00000757,96,0.732824427480915,7,2014-12-25,1,3
61,530,1,61,2015-01-22,4,HO00000758,403,0.7603773584905661,3,2014-12-25,3,1
62,5710,7,62,2015-01-22,4,HO00000758,4261,0.7462346760070051,3,2014-12-25,26,2
63,880,7,63,2015-01-22,4,HO00000758,732,0.831818181818181,7,2014-12-25,8,3
64,220,2,64,2015-01-22,4,HO00000758,129,0.5863636363636361,7,2014-12-25,2,4
65,110,1,65,2015-01-08,1,HO00000760,90,0.818181818181818,3,2015-01-02,1,0
66,220,2,66,2015-01-08,1,HO00000760,179,0.813636363636363,3,2015-01-02,2,1
67,110,1,67,2015-01-06,0,HO00000761,24,0.218181818181818,3,2015-01-02,1,0
68,220,1,68,2015-01-13,1,HO00000762,203,0.9227272727272721,3,2015-01-02,2,0
69,1880,7,69,2015-01-13,1,HO00000762,1423,0.756914893617021,3,2015-01-02,17,1
70,4820,5,70,2015-01-22,2,HO00000763,2934,0.608713692946058,3,2015-01-09,22,0
71,906,7,71,2015-01-22,2,HO00000763,699,0.7715231788079471,7,2015-01-09,7,1
72,262,2,72,2015-01-22,2,HO00000763,171,0.6526717557251901,7,2015-01-09,2,2
73,4657,5,73,2015-02-26,7,HO00000764,3845,0.8256388232767871,3,2015-01-09,21,0
74,960,7,74,2015-02-26,7,HO00000764,876,0.9125000000000001,7,2015-01-09,8,1
75,840,7,75,2015-02-26,7,HO00000764,765,0.910714285714285,7,2015-01-09,7,2
76,790,7,76,2015-02-26,7,HO00000764,718,0.9088607594936701,10,2015-01-09,7,3
77,830,7,77,2015-02-26,7,HO00000764,743,0.895180722891566,3,2015-01-09,7,4
